Unnamed: 0,input,A,B,C,D,task
720,"This question refers to the following information.
BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.…
—William Penn, Charter of Privileges Granted by William Penn,
esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701
Which of the following best describes the colony of Pennsylvania?",A charter colony in which the King granted a charter to a group of businessmen or colonists,A proprietary colony in which the King entrusted government to a proprietor and his family,A royal colony in which the King appointed the governor,An independent colony governed outside the authority of the King,high_school_us_history
727,"This question refers to the following information.
""The only force which is strong enough to break down social convention is economic necessity. . . . The economic necessity which has forced women out of the home and into the world of business has completely annihilated the old idea that a woman should eat only in the privacy of her household or in the homes of her friends, has created the absolutely new social phenomenon of women eating in public, unescorted by men, by the tens of thousands, and has given rise to a wholly new phase of the restaurant business.""
—The New York Times, October 15, 1905
Which of the following groups would have most likely supported the scenario described in this passage?",Ku Klux Klan.,American Temperance Union.,National Woman Suffrage Association.,Southern Christian Leadership Conference.,high_school_us_history
731,"This question refers to the following information.
Here is the case of a woman employed in the manufacturing department of a Broadway house. It stands for a hundred like her own. She averages three dollars a week. Pay is $1.50 for her room; for breakfast she has a cup of coffee; lunch she cannot afford. One meal a day is her allowance. This woman is young, she is pretty. She has ""the world before her."" Is it anything less than a miracle if she is guilty of nothing less than the ""early and improvident marriage,"" against which moralists exclaim as one of the prolific causes of the distresses of the poor? Almost any door might seem to offer a welcome escape from such slavery as this. ""I feel so much healthier since I got three square meals a day,"" said a lodger in one of the Girls' Homes. Two young sewing-girls came in seeking domestic service, so that they might get enough to eat. They had been only half-fed for some time, and starvation had driven them to the one door at which the pride of the American-born girl will not permit her to knock, though poverty be the price of her independence.
—Jacob Riis, How the Other Half Lives, 1890
The situation faced by the young women in the passage above is most directly comparable to which of the following?",American revolutionaries in the 1770s,Slaves in the antebellum South,Populist farmers in the 1890s,Detroit autoworkers in the 1930s,high_school_us_history
732,"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
Which of the following pairs of words best characterizes the differences between the approaches of Presidents Lyndon Johnson (1963–1969) and Richard Nixon (1969–1974) to the Vietnam conflict?",Aggression vs. pacifism,Competency vs. failure,Insurgence vs. retreat,Appeasement vs. provocation,high_school_us_history
745,"This question refers to the following information.
""Americans have more freedom and broader rights than citizens of almost any other nation in the world, including the capacity to criticize their government and their elected officials. But we do not have the right to resort to violence—or the threat of violence—when we don't get our way. Our founders constructed a system of government so that reason could prevail over fear. Oklahoma City proved once again that without the law there is no freedom. Criticism is part of the lifeblood of democracy. No one is right all the time. But we should remember that there is a big difference between criticizing a policy or a politician and demonizing the government that guarantees our freedoms and the public servants who enforce our laws.""
President Bill Clinton, ""What We Learned in Oklahoma City,"" 2010
(Written on the 15th anniversary of the Oklahoma City bombing)
""If there would not have been a Waco, I would have put down roots somewhere and not been so unsettled with the fact that my government…was a threat to me. Everything that Waco implies was on the forefront of my thoughts. That sort of guided my path for the next couple of years.""
Timothy McVeigh, Oklahoma City bomber, 2001
U.S. Representative John Conyers, Events Surrounding the Branch Davidian Cult Standoff in Waco, Texas: Hearing Before the Committee on the Judiciary, House of Representatives, 1993
The above excerpts most closely support which of the following inferences?","In the 1990s, anti-government sentiment, in response to excessive uses of federal power to resolve domestic conflicts, inspired militia groups and lone vigilantes, such as Timothy McVeigh.","In 1993 Attorney General Janet Reno launched an offensive against the Branch Davidian cult led by Timothy McVeigh, later drawing criticism from Congress for her heavy-handed approach.","Fearing a rise in anti-government sentiment after the Oklahoma City bombing, Attorney General Janet Reno sent troops to quell the Branch Davidian Cult Standoff, and later faced congressional criticism.",Attorney General Janet Reno resigned from office in part due to Congressional pressure put on President Clinton by Representative John Conyers.,high_school_us_history
749,"This question refers to the following information.
""The far-reaching, the boundless future will be the era of American greatness. In its magnificent domain of space and time, the nation of many nations is destined to manifest to mankind the excellence of divine principles; to establish on earth the noblest temple ever dedicated to the worship of the Most High—the Sacred and the True. Its floor shall be a hemisphere—its roof the firmament of the star-studded heavens, and its congregation a Union of many Republics, comprising hundreds of happy millions, calling, owning no man master, but governed by God's natural and moral law of equality, the law of brotherhood—of 'peace and good will amongst men.'""
John L. O'Sullivan, ""The Great Nation of Futurity,"" 1839
Which of the following presidents is most closely associated with the concept of Manifest Destiny?",James K. Polk,Andrew Johnson,Woodrow Wilson,Ronald Reagan,high_school_us_history
750,"This question refers to the following information.
""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor.""
Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
All of the following were part of Johnson's Great Society program EXCEPT",the Civil Rights Act of 1964,Medicare and Medicaid,the establishment of the Department of Housing and Urban Development,the balanced budget mandate,high_school_us_history
751,"This question refers to the following information.
I come not to urge personal claims, nor to seek individual benefits; I appear as the advocate of those who cannot plead their own cause; I come as the friend of those who are deserted, oppressed, and desolate. In the Providence of God, I am the voice of the maniac whose piercing cries from the dreary dungeons of your jails penetrate not your Halls of Legislation. I am the Hope of the poor crazed beings who pine in the cells, and stalls, and cages, and waste rooms of your poor-houses. I am the Revelation of hundreds of wailing, suffering creatures, hidden in your private dwellings, and in pens and cabins—shut out, cut off from all healing influences, from all mind-restoring cares.… Could their melancholy histories be spread before you as revealed to my grieved spirit during the last three months, how promptly, how earnestly would you search out the most approved means of relief; how trifling, how insignificant, by comparison, would appear the sacrifices you are asked to make; how would a few dimes and dollars, gathered from each citizen, diminish in value as a possession, compared with the certain benefits and vast good to be secured for the suffering insane...by the consecration and application of a sufficient fund to the construction of a suitable hospital.…
—Dorothea Dix, Memorial Soliciting a State Hospital for the Protection and Cure of the Insane,
Submitted to the General Assembly of North Carolina, November 1848
A key motivating factor for many reformers of the 1840s was",Marxism.,Evangelical Christianity.,distrust of big government.,laissez-faire economics.,high_school_us_history
759,"This question refers to the following information.
""Wherever I go—the street, the shop, the house, or the steamboat—I hear the people talk in such a way as to indicate that they are yet unable to conceive of the Negro as possessing any rights at all. Men who are honorable in their dealings with their white neighbors will cheat a Negro without feeling a single twinge of their honor. To kill a Negro they do not deem murder; to debauch a Negro woman they do not think fornication; to take the property away from a Negro they do not consider robbery. The people boast that when they get freedmen affairs in their own hands, to use their own classic expression, 'the niggers will catch hell.'
""The reason of all this is simple and manifest. The whites esteem the blacks their property by natural right, and however much they may admit that the individual relations of masters and slaves have been destroyed by the war and the President's emancipation proclamation, they still have an ingrained feeling that the blacks at large belong to the whites at large, and whenever opportunity serves they treat the colored people just as their profit, caprice or passion may dictate.""
—Congressional testimony of Col. Samuel Thomas, Assistant Commissioner, Bureau of Refugees, Freedmen and Abandoned Lands, 1865
Which of the following specific developments contributed to the general sentiment expressed in Federalist #15?",Great Britain refused to evacuate forts in the Great Lakes region.,Spanish forces retook Florida from the United States.,French forces aided American Indians in conducting raids on New England.,Dutch traders forced American ships to extend tribute payments in order to dock in Holland.,high_school_us_history
764,"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
—Jimmy Carter, State of the Union Address, January 23, 1980
Which of the following has some of its roots in the conditions discussed by Jimmy Carter in this passage?",The War on Terror,High unemployment,Tensions with China,High budget deficits,high_school_us_history
767,"This question refers to the following information.
""The Opposition tells us that we ought not to govern a people without their consent. I answer, the rule of liberty that all just government derives its authority from the consent of the governed, applies only to those who are capable of self-government. We govern the Indians without their consent, we govern our territories without their consent, we govern our children without their consent. How do they know that our government would be without their consent? Would not the people of the Philippines prefer the just, human, civilizing government of this Republic to the savage, bloody rule of pillage and extortion from which we have rescued them? And, regardless of this formula of words made only for enlightened, self-governing people, do we owe no duty to the world? Shall we turn these peoples back to the reeking hands from which we have taken them? Shall we abandon them, with Germany, England, Japan, hungering for them? Shall we save them from those nations, to give them a self-rule of tragedy?…Then, like men and not like children, let us on to our tasks, our mission, and our destiny.""
Albert J. Beveridge, ""The March of the Flag,"" 1898
The United States became politically engaged with the Philippines after what military conflict?",Mexican-American War,World War II,Spanish-American War,The Boxer Rebellion,high_school_us_history
769,"This question refers to the following information.
""When we were kids the United States was the wealthiest and strongest country in the world; the only one with the atom bomb, the least scarred by modern war, an initiator of the United Nations that we thought would distribute Western influence throughout the world. Freedom and equality for each individual, government of, by, and for the people—these American values we found good, principles by which we could live as men. Many of us began maturing in complacency.
""As we grew, however, our comfort was penetrated by events too troubling to dismiss. First, the permeating and victimizing fact of human degradation, symbolized by the Southern struggle against racial bigotry, compelled most of us from silence to activism. Second, the enclosing fact of the Cold War, symbolized by the presence of the Bomb, brought awareness that we ourselves, and our friends, and millions of abstract 'others' we knew more directly because of our common peril, might die at any time. . . .""
—Port Huron Statement, 1962
Through the remainder of the 1960s, the growth of the organization that published the Port Huron Statement can best be understood in the context of","rapid industrialization, urban growth and congestion, and corporate consolidation.","the baby boom, economic growth, and a rapid expansion of higher education.","economic polarization, supply-side economic policies, and the disappearance of the middle class.","the proliferation of personal computer technologies, the rise of Christian fundamentalism, and an increase in student apathy.",high_school_us_history
771,"This question refers to the following information.
I appeal to any white man to say, if ever he entered Logan's cabin hungry, and he gave him not meat: if ever he came cold and naked, and he clothed him not? During the course of the last long and bloody war, Logan remained idle in his cabin, an advocate for peace. Such was my love for the whites, that my countrymen pointed as they passed, and said, ""Logan is the friend of the white man."" I had even thought to have lived with you but for the injuries of one man. Colonel Cresap, the last spring, in cold blood and unprovoked; murdered all the relations of Logan, not even sparing my women and children. There runs not a drop of my blood in the veins of any living creature. This called on me for revenge. I have sought it: I have killed many; I have fully glutted my vengeance. For my country, I rejoice at the beams of peace. But do not harbor a thought that mine is the joy of fear. Logan never felt fear. He will not turn on his heel to save his life. Who is there to mourn for Logan? Not one.
—Address attributed to Logan, an Indian leader, 1774
Which of the following in later years would be most likely to see themselves in Logan's position?",An opponent of big government in the 1930s,An opponent of consumerism in the 1950s,A supporter of liberalism in the 1960s,A supporter of feminism in the 1970s,high_school_us_history
772,"This question refers to the following information.
""I come to present the strong claims of suffering humanity. I come to place before the Legislature of Massachusetts the condition of the miserable, the desolate, the outcast. I come as the advocate of helpless, forgotten, insane and idiotic men and women; of beings, sunk to a condition from which the most unconcerned would start with real horror; of beings wretched in our Prisons, and more wretched in our Alms-Houses. . . .
""If my pictures are displeasing, coarse, and severe, my subjects, it must be recollected, offer no tranquil, refined, or composing features. The condition of human beings, reduced to the extremest states of degradation and misery, cannot be exhibited in softened language, or adorn a polished page.
""I proceed, Gentlemen, briefly to call your attention to the present state of Insane Persons confined within this Commonwealth, in cages, closets, cellars, stalls, pens! Chained, naked, beaten with rods, and lashed into obedience!""
—Dorothea Dix, ""Memorial to the Massachusetts Legislature"" (1843)
Dorothea Dix's research and testimony is best understood in the context of",women gaining the right to vote in many states.,an economic downturn that was responsible for the closure of many state institutions.,an evolving relationship between the federal government and issues of health and poverty.,the rise of voluntary organizations to promote religious and secular reforms.,high_school_us_history
786,"This question refers to the following information.
""The question, therefore, should be quickly settled, whether free colored persons, born and naturalized in this country, are not American citizens, and justly entitled to all the rights, privileges and immunities of citizens of the several states; and whether the Constitution of the United States makes or authorizes any invidious distinction with regard to the color or condition of free inhabitants.
""For myself, I have not the shadow of doubt on the subject. I believe that the rights of the free colored persons need only to be vindicated before the U.S. Supreme Court, to be obtained; that no prejudice or sophistry . . . can prevent their acknowledgement . . . and that the present laws, affecting your condition, are clearly unconstitutional. The fact that you have been treated, by common consent and common usage, as aliens and brutes, is not proof that such treatment is legal, but only shows the strength, the bitterness, and the blindness of prejudice.""
—William Lloyd Garrison, ""To the Free People of Color of the United States,"" The Liberator, January 15, 1831
The argument put forth by William Lloyd Garrison in the passage was later contradicted in which of the following Supreme Court decisions?",Dred Scott v. Sanford (1857),Ex parte Milligan (1866),Plessy v. Ferguson (1896),Brown v. Board of Education of Topeka (1954),high_school_us_history
788,"This question refers to the following information.
The man who mounted the steps of the Capitol, March 4, 1801, to claim the place of an equal between Pitt and Bonaparte, possessed a character which showed itself in acts; but person and manner can be known only by contemporaries, and the liveliest description was worth less than a moment of personal contact. Jefferson was very tall, six feet two-and-a-half inches in height; sandy-complexioned; shy in manner, seeming cold; awkward in attitude, and with little in his bearing that suggested command.… His skin was thin, peeling from his face on exposure to the sun, giving it a tettered appearance. This sandy face, with hazel eyes and sunny aspect; this loose, shackling person; this rambling and often brilliant conversation, belonged to the controlling influences of American history, more necessary to the story than three-fourths of the official papers, which only hid the truth. Jefferson's personality during these eight years appeared to be the government, and impressed itself, like that of Bonaparte, although by a different process, on the mind of the nation. In the village simplicity of Washington, he was more than a king, for he was alone in social as well as in political pre-eminence. Except the British Legation, no house in Washington was open to general society; the whole mass of politicians, even the Federalists, were dependent on Jefferson and ""The Palace"" for amusement; and if they refused to go there, they ""lived like bears, brutalized and stupefied.""
—Henry Adams, History of the United States During the Administration of Thomas Jefferson, 1889
As the great-grandson of President John Adams, the historian Henry Adams might have been expected to be which of the following?",Critical of the policies of Thomas Jefferson,Supportive of the policies of Thomas Jefferson,Critical of the Constitutional Convention,More interested in the French and Indian War,high_school_us_history
790,"This question refers to the following information.
""We have witnessed for more than a quarter of a century the struggles of the two great political parties for power and plunder, while grievous wrongs have been inflicted upon the suffering people. We charge that the controlling influences dominating both these parties have permitted the existing dreadful conditions to develop without serious effort to prevent or restrain them. Neither do they now promise us any substantial reform. They have agreed together to ignore, in the coming campaign, every issue but one. They propose to drown the outcries of a plundered people with the uproar of a sham battle over the tariff, so that capitalists, corporations, national banks, rings, trusts, watered stock, the demonetization of silver and the oppressions of the usurers may all be lost sight of. They propose to sacrifice our homes, lives, and children on the altar of mammon; to destroy the multitude in order to secure corruption funds from the millionaires.
""Assembled on the anniversary of the birthday of the nation, and filled with the spirit of the grand general and chief who established our independence, we seek to restore the government of the Republic to the hands of 'the plain people,' with which class it originated. We assert our purposes to be identical with the purposes of the National Constitution; to form a more perfect union and establish justice, insure domestic tranquillity, provide for the common defence, promote the general welfare, and secure the blessings of liberty for ourselves and our posterity.""
Populist Party Platform, 1892
Which of the following was most directly a cause of the success of the Populist party?",Western farmers and ranchers favored conservation and organized to promote the National Parks system.,The growth of corporate power and banking interests inspired rural activists to lobby for political reform.,Western farmers resisted the mechanization of agriculture and resented government interference in rural affairs.,"After the Civil War, westward migration slowed, causing a long-term recession in many Western territories.",high_school_us_history
795,"This question refers to the following information.
""The conscience of the people, in a time of grave national problems, has called into being a new party, born of the nation's sense of justice. We of the Progressive party here dedicate ourselves to the fulfillment of the duty laid upon us by our fathers to maintain the government of the people, by the people and for the people whose foundations they laid. We hold with Thomas Jefferson and Abraham Lincoln that the people are the masters of their Constitution, to fulfill its purposes and to safeguard it from those who, by perversion of its intent, would convert it into an instrument of injustice. In accordance with the needs of each generation the people must use their sovereign powers to establish and maintain equal opportunity and industrial justice, to secure which this Government was founded and without which no republic can endure.
""This country belongs to the people who inhabit it. Its resources, its business, its institutions and its laws should be utilized, maintained or altered in whatever manner will best promote the general interest. It is time to set the public welfare in the first place.""
Progressive Party Platform, 1912
""Muckraking"" author Jacob A. Riis's How the Other Half Lives best exemplifies which of the following quotes from the excerpt above?",the duty laid upon us by our fathers,masters of their Constitution,an instrument of injustice,without which no republic can endure,high_school_us_history
797,"This question refers to the following information.
""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor.""
Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
Along with his goals of establishing a Great Society, Johnson was also engaged in which of the following initiatives?",Undermining Communism in Cuba with the Bay of Pigs Invasion,Undermining Communism in Vietnam after the Tet Offensive,Undermining Communism in Turkey and Greece using economic aid,Undermining Communism in the Eastern Block by demanding a removal of the Berlin Wall,high_school_us_history
798,"This question refers to the following information.
The 1980s have been born in turmoil, strife, and change. This is a time of challenge to our interests and our values and it's a time that tests our wisdom and skills.
At this time in Iran, 50 Americans are still held captive, innocent victims of terrorism and anarchy. Also at this moment, massive Soviet troops are attempting to subjugate the fiercely independent and deeply religious people of Afghanistan. These two acts—one of international terrorism and one of military aggression—present a serious challenge to the United States of America and indeed to all the nations of the world. Together we will meet these threats to peace.…
Three basic developments have helped to shape our challenges: the steady growth and increased projection of Soviet military power beyond its own borders; the overwhelming dependence of the Western democracies on oil supplies from the Middle East; and the press of social and religious and economic and political change in the many nations of the developing world, exemplified by the revolution in Iran.
Each of these factors is important in its own right. Each interacts with the others. All must be faced together, squarely and courageously. We will face these challenges, and we will meet them with the best that is in us. And we will not fail.
—Jimmy Carter, State of the Union Address, January 23, 1980
The problems that Carter faced in 1980 can best be compared to those of which of the following?",Abraham Lincoln in the 1860s,Theodore Roosevelt in the 1900s,Warren Harding in the 1920s,Franklin D. Roosevelt in the 1930s,high_school_us_history
800,"This question refers to the following information.
""One-half of the people of this nation to-day are utterly powerless to blot from the statute books an unjust law, or to write there a new and a just one. The women, dissatisfied as they are with this form of government, that enforces taxation without representation,—that compels them to obey laws to which they have never given their consent,—that imprisons and hangs them without a trial by a jury of their peers, that robs them, in marriage, of the custody of their own persons, wages and children,—are this half of the people left wholly at the mercy of the other half, in direct violation of the spirit and letter of the declarations of the framers of this government, every one of which was based on the immutable principle of equal rights to all.""
—Susan B. Anthony, ""I Stand Before You Under Indictment"" (speech), 1873
Which of the following was another common criticism of Andrew Carnegie?","As an immigrant, Carnegie had no right to own controlling interests in major American industries.",Carnegie did nothing to prevent the use of violence against his workers when they asked for better wages and working conditions.,"Carnegie was seen as the epitome of American success, but he was not even the richest man in America.","Too much of Carnegie's philanthropic efforts were concentrated on his homeland of Scotland, denying Americans the benefits of his charity.",high_school_us_history
801,"This question refers to the following information.
""I observe the great and wonderful mistake, both our own and our fathers, as to the civil powers of this world, acting in spiritual matters. I have read…the last will and testament of the Lord Jesus over many times, and yet I cannot find by one tittle of that testament that if He had been pleased to have accepted of a temporal crown and government that ever He would have put forth the least finger of temporal or civil power in the matters of His spiritual affairs and Kingdom. Hence must it lamentably be against the testimony of Christ Jesus for the civil state to impose upon the souls of the people a religion, a worship, a ministry, oaths (in religious and civil affairs), tithes, times, days, marryings, and buryings in holy ground…""
Roger Williams, The Hireling Ministry None of Christ's, 1652
The ""First Great Awakening"" can be seen as a direct response to which of the following?",Puritanism,The Enlightenment,Transcendentalism,Existentialism,high_school_us_history
806,"This question refers to the following information.
Of all the band of adventurous cavaliers, whom Spain, in the sixteenth century, sent forth on the career of discovery and conquest, there was none more deeply filled with the spirit of romantic enterprise than Hernando Cortes. Dangers and difficulties, instead of deterring, seemed to have a charm in his eyes.… He conceived, at the first moment of his landing in Mexico, the design of its conquest. When he saw the strength of its civilization, he was not turned from his purpose.… This spirit of knight-errantry might lead us to undervalue his talents as a general, and to regard him merely in the light of a lucky adventurer. But this would be doing him injustice; for Cortes was certainly a great general, if that man be one, who performs great achievements with the resources which his own genius has created. There is probably no instance in history, where so vast an enterprise has been achieved by means apparently so inadequate.… He brought together the most miscellaneous collection of mercenaries who ever fought under one standard: adventurers from Cuba and the Isles, craving for gold; hidalgos, who came from the old country to win laurels; … wild tribes of the natives from all parts of the country, who had been sworn enemies from their cradles, and who had met only to cut one another's throats, and to procure victims for sacrifice; men, in short, differing in race, in language, and in interests, with scarcely anything in common among them. Yet this motley congregation was assembled in one camp, compelled to bend to the will of one man, to consort together in harmony, to breathe, as it were, one spirit, and to move on a common principle of action!
—William Hickling Prescott, History of the Conquest of Mexico, 1843
As Prescott makes clear in the passage above, an important reason for Cortes's military success was which of the following?",The advantage of superior numbers,The superior military skill of mercenaries,Taking advantage of divisions among the Indians,Effective use of European artillery,high_school_us_history
812,"This question refers to the following information.
""The challenge of the next half century is whether we have the wisdom to use wealth to enrich and elevate our national life, and to advance the quality of our American civilization….The Great Society rests on abundance and liberty for all. It demands an end to poverty and racial injustice, to which we are totally committed in our time. But that is just the beginning. The Great Society is a place where every child can find knowledge to enrich his mind and to enlarge his talents. It is a place where leisure is a welcome chance to build and reflect, not a feared cause of boredom and restlessness. It is a place where the city of man serves not only the needs of the body and the demands of commerce but the desire for beauty and the hunger for community. It is a place where man can renew contact with nature. It is a place which honors creation for its own sake and for what it adds to the understanding of the race. It is a place where men are more concerned with the quality of their goals than the quantity of their goods. But most of all, the Great Society is not a safe harbor, a resting place, a final objective, a finished work. It is a challenge constantly renewed, beckoning us toward a destiny where the meaning of our lives matches the marvelous products of our labor.""
Lyndon Johnson, Remarks at the University of Michigan, Ann Arbor, 1964
Johnson's Great Society most represented an extension of which of the following initiatives?",The New Deal,The Square Deal,The Truman Doctrine,The Monroe Doctrine,high_school_us_history
814,"This question refers to the following information.
Our leaders talk about stopping aggression from the north, but this was a struggle among groups of Vietnamese until we intervened. We seem bent upon saving the Vietnamese from Ho Chi Minh even if we have to kill them and demolish their country to do it. As the native people survey bombed-out villages, women and children burned by napalm, rice crops destroyed and cities overrun with our military personnel, they are doubtless saying secretly of the Vietcong guerillas and of the American forces, ""A plague on both your houses."" … Stop the bombing, north and south, end search and destroy offensive sweeps, and confine our military action to holding operations on the ground. Bombing the north has failed to halt or seriously check the flow of troops to the south and may, in fact, have prompted a much greater war effort by Hanoi.
—Senator George McGovern, ""The Lessons of Vietnam,"" April 25, 1967
Political discord during the Vietnam War most closely resembled the political dissensions during which of the following?",The Spanish-American War,The Mexican War,World War I,World War II,high_school_us_history
818,"This question refers to the following information.
BECAUSE no People can be truly happy, though under the greatest Enjoyment of Civil Liberties, if abridged of the Freedom of their Consciences, as to their Religious Profession and Worship: And Almighty God being the only Lord of Conscience, Father of Lights and Spirits; and the Author as well as Object of all divine Knowledge, Faith and Worship, who only doth enlighten the Minds, and persuade and convince the Understanding of People, I do hereby grant and declare, That no Person or Persons, inhabiting in this Province or Territories, who shall confess and acknowledge One almighty God, the Creator, Upholder and Ruler of the World; and profess him or themselves obliged to live quietly under the Civil Government, shall be in any Case molested or prejudiced, in his or their Person or Estate, because of his or their conscientious Persuasion or Practice, nor be compelled to frequent or maintain any religious Worship, Place or Ministry, contrary to his or their Mind.…
—William Penn, Charter of Privileges Granted by William Penn,
esq. to the Inhabitants of Pennsylvania and Territories, October 28, 1701
William Penn was a member of which of the following persecuted religious groups?",Roman Catholics,Puritans,Quakers,Anglicans,high_school_us_history
820,"This question refers to the following information.
""On the 4th of March next this party [the Republican party] will take possession of the government. It has announced that the South shall be excluded from the common territory, that the judicial tribunal shall be made sectional, and that a war must be waged against slavery until it shall cease throughout the United States. The guarantees of the Constitution will then no longer exist; the equal rights of the states will be lost. The slaveholding states will no longer have the power of self-government or self-protection, and the federal government will have become their enemy.
""We, therefore, the people of South Carolina, by our delegates in convention assembled, have solemnly declared that the Union heretofore existing between this state and the other states of North America is dissolved; and that the state of South Carolina has resumed her position among the nations of the world, as [a] separate and independent state, with full power to levy war, conclude peace, contract alliances, establish commerce, and to do all other acts and things which independent states may of right do.""
South Carolina defines the causes of secession, 1860
Which of the following was an immediate consequence of the secession of South Carolina?",Southern Democrats appealed to the powers of Congress to stop military action against South Carolina.,Abraham Lincoln signed the Emancipation Proclamation.,"Other Southern states seceded from the Union, forming the Confederacy.","Jefferson Davis drafted Confederate soldiers into war, defending the siege on Fort Sumter.",high_school_us_history
829,"This question refers to the following information.
""I was once a tool of oppression
And as green as a sucker could be
And monopolies banded together
To beat a poor hayseed like me.
""The railroads and old party bosses
Together did sweetly agree;
And they thought there would be little trouble
In working a hayseed like me. . . .""
—""The Hayseed""
The song lyrics above would most likely have appeared in",an abolitionist newspaper in the 1830s.,a Republican leaflet in the 1870s.,a populist newspaper in the 1890s.,a civil rights pamphlet in the 1950s.,high_school_us_history
985,"This question refers to the following information.
No task is more urgent than that of preserving peace. Without peace our independence means little. The rehabilitation and upbuilding of our countries will have little meaning. Our revolutions will not be allowed to run their course. What can we do? We can do much! We can inject the voice of reason into world affairs. We can mobilize all the spiritual, all the moral, all the political strength of Asia and Africa on the side of peace. Yes, we! We, the peoples of Asia and Africa, 1.4 billion strong.
Indonesian leader Sukarno, keynote address to the Bandung Conference, 1955
The passage above is most associated with which of the following developments?",The formation of the non-aligned movement,Global disarmanent and nuclear non-proliferation,The Green Revolution in agriculture,Mobilization of pan-Asian ideology,high_school_world_history
